name,_L,_a,_b
Bright_Maroon,43.005297082339176,62.6659844490855,20.136510640603866
Bright_Pink,54.864434035753604,84.46246633197762,4.642957583989382
Bright_Turquoise,83.45989721398398,-47.46281208106473,-8.258260318011846
Bright_Ube,72.34759012456766,31.392910305138354,-29.671326829322943
Brilliant_Lavender,82.91080357730692,31.814667447329526,-25.601139849105927
Brilliant_Rose,62.00376791664765,70.34704769435457,-6.097581940853569
Brink_Pink,62.00894710311243,61.3744638640985,14.655978023102723
British_Racing_Green,23.769471274549183,-27.179073002185028,12.43476354073495
Bronze,60.24084817763894,24.015943155952456,52.33071638585061
Brown_Traditional,40.439679539081695,27.497532342429825,50.14147913593795
Brown_Web,37.52638298567689,49.690023330924426,30.544063531395327
Bubble_Gum,83.84204262500792,23.76370237847192,3.1652046883314355
Bubbles,98.0699796369921,-7.250908123375311,-3.019740240966362
Buff,87.64315291671869,-4.96230204440068,46.52163951318629
Bulgarian_Rose,12.758278715458449,30.02695894762204,17.00669137149098
Burgundy,25.847433261852167,48.894362418315126,21.29798796608091
Burlywood,77.01841285839714,7.0486055622749895,30.021558754193258
Burnt_Orange,51.08066542221195,44.15814061914247,60.771663658473415
Burnt_Sienna,62.0092309552324,42.580434990466095,40.02635031263737
Burnt_Umber,33.77357823688505,36.184428574108665,28.503125264164364
Byzantine,46.802328562533596,65.40635597188515,-30.849527403987764
Byzantium,29.240630986695848,38.87223769836656,-19.029872026358774
Cadet,42.69396295226277,-5.307140948818012,-8.175002617195371
Cadet_Blue,61.153177656929785,-19.6814317829756,-7.417406844887431
Cadet_Grey,66.01864616627306,-3.5035121826539894,-8.841026884156644
Cadmium_Green,39.31121343532793,-38.523831466671545,19.061984355320305
Cadmium_Orange,66.15684232756522,32.85995904281158,61.458215458703016
Cadmium_Red,47.56173105295351,73.7582284299697,49.14810901183905
Cadmium_Yellow,94.81244947957931,-17.252229905991456,92.78121979097166
Café_Au_Lait,55.103051065821475,12.585282976264434,24.010769544603306
Café_Noir,24.46317852364863,6.411335920198436,16.81111131055185
Cal_Poly_Green,28.793294187455565,-24.76982914834261,15.476311529172271
Cambridge_Blue,75.41570439612192,-14.059465295887419,6.70667435117025
